"","collection_no","collection_name","geocomments","stratcomments","early_interval","late_interval","loc_id","ref_id","locname","lat","lng","primary_reference","bibliographic_citation","projects","max_ma","min_ma","stage","stage_id","paleolng_scotese2016","paleolat_scotese2016"
"1",69411,"Cape Tumul, Olenek River, upper Tumul Formation, Yakutiya","northern near-platform slope of the Lena-Anabar Depression","upper part of the formation, T. efimovae Zone","Rhaetian","Rhaetian",121,19983,"Cape Tumul",73,119.817,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-46.5579906373931,84.613912513578
"2",69416,"Buur River Basin, upper Tumul Formation, Yakutiya","northern near-platform slope of the Lena-Anabar Depression","T. efimovae zone","Rhaetian","Rhaetian",109,19983,"Buur River Basin",71.5,120,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-49.0588195597612,86.1015941114826
"3",69417,"Buor Eyekit River Basin, Bulunkan Formation, Yakutiya","southern near-platform slope of the Lena-Anabar Depression","T. efimovae Zone","Rhaetian","Rhaetian",98,19983,"Buor Eyekit River Basin",70.7167,125.533,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-78.0539523494671,86.0862589067735
"4",69418,"Kystyk-Khai-Yur'age River area, Bulunkan Formation, Yakutiya","southern near-platform slope of the Lena-Anabar Depression","T. efimovae zone","Rhaetian","Rhaetian",331,19983,"Kystyk-Khai-Yur'age River area",71.0667,123.233,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-65.8133315816923,86.2168276542472
"5",69422,"Chubukulakh River Basin, upper Karadan Formation, Yakutiya",NA,"Efimovae Zone","Rhaetian","Rhaetian",136,19983,"Chubukulakh River Basin",70.8167,127.667,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-83.876500526541,85.5175560840264
"6",69448,"SW Verkhoyansk Mountains (Lepiske and Nuora River Basins), Kybytygas Formation",NA,"Efimovae Zone","Rhaetian","Rhaetian",567,19983,"SW Verkhoyansk Mountains (Lepiske and Nuora River Basins)",64.6167,128.917,"Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in ...","Kazakov, A. M., 1992. Stratigraphy of Norian and Rhaetian deposits in the northern Middle Siberia//Russian Geology and Geophysics.","pbdb",208.5,201.3,"Rhaetian",58,-164.745071658726,84.9153440990533
"7",128043,"Interfluve between El'ga and Malogo Selerikan Rivers, Indigirka Basin",NA,"Given as ""Norian-Rhaetian"" but only because there was debate at the time whether the Rhaetian was a separate stage.","Rhaetian","Rhaetian",231,41832,"Interfluve between El'ga and Malogo Selerikan Rivers",63.9,140.133,"Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri....","Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri.","pbdb",208.5,201.3,"Rhaetian",58,-146.263624244095,80.5296989263585
"8",128136,"Selerikan River, Indigirka river basin",NA,"Given as ""Norian-Rhaetian"" but only because there was debate at the time whether the Rhaetian was a separate stage.","Rhaetian","Rhaetian",524,41832,"Selerikan River",63.9,140.133,"Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri....","Dagys, A. S., 1965. //Triasovye Brakhiopody Sibiri.","pbdb",208.5,201.3,"Rhaetian",58,-146.263624244095,80.5296989263585
"9",166680,"Kavakchan River, northern Preokhotsk",NA,NA,"Norian","Rhaetian",248,54385,"Kavakchan River",59.64,144.36,"Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akad...","Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akademiya Nauk SSSR, Sibirskoe Otdelenie Trudy Instituta Geologii I Geofiziki.","pbdb",228,201.3,"Rhaetian",58,-156.345017404514,76.2683003497619
"10",166696,"Khachalycha River, Ayan-Yuryakh basin",NA,"Lower part of Monotis ochotica zone","Norian","Rhaetian",264,54385,"Khachalycha River",62.6,147.5,"Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akad...","Sobolev, E. S., 1989. Triasovye nautilidy severo-vostochnoy Azii//Akademiya Nauk SSSR, Sibirskoe Otdelenie Trudy Instituta Geologii I Geofiziki.","pbdb",228,201.3,"Rhaetian",58,-142.301371329867,77.0529148185738
"11",177719,"Tarynnakh River (upper Begidzhan river)",NA,NA,"Rhaetian","Rhaetian",583,58784,"Tarynnakh River",66.83,126.25,"Vavilov, M. N., 1986. Novye i redkie Ammonoidei srednego i pozdnego Tr...","Vavilov, M. N., 1986. Novye i redkie Ammonoidei srednego i pozdnego Triasa sredney Sibiri//Akademiya Nauk SSSR, Sibirskoe Otlodenie, Trudy Instituta Geologii i Geofiziki.","pbdb",208.5,201.3,"Rhaetian",58,-145.138877125491,86.9962458496356
"12",192142,"Уренгойский район, рэт","","Аргиллиты, темно-серые с прослоями песчаников и конгламиратов, в средней части породы зеленовато-серые с пропластками углистых аргиллитов; Песчаники серые с пачками аргиллитов и мелко-среднегалечных конгломератов","Rhaetian","Rhaetian",728,1000002,"Уренгойский район",66.0775,77.9258,"Решение 6-го Межведомственного стратиграфического совещания по рассмот...","Решение 6-го Межведомственного стратиграфического совещания по рассмотрению и принятию уточненных стратиграфических схем мезозойских отложений Западной Сибири, Новосибирск, 2003– Новосибирск: СНИИГГиМС, 2004. – 114 с., прил. 3 на 31 листе.г.
","paleosib",208.5,201.3,"Rhaetian",58,33.1095643575258,74.1674291012902
"13",192377,"Inskaya zone, рэтский, Усмунчанская свита","Oxytoma czekanowskii Tell., Chiamys (Camptochlamys) sp., Lima (Camptochlamys) sp., Lima cf.transversa Polub., _Palaeopharus cf.buriji Kipar.","Песчаники, алевролиты, редко гравелиты и аргиллиты.","Rhaetian","Rhaetian",815,1000006,"Inskaya zone",59.8527,141.819,"Схемы Дальнего Востока и Восточного Забайкалья (1994)","Решения Четвертого межведомственного регионального стратиграфического совещания по докембрию и фанерозою юга Дальнего Востока и Восточного Забайкалья (Хабаровск, 1990). Хабаровск, 1994","paleosib",208.5,201.3,"Rhaetian",58,-159.784337757632,77.3012109284092
"14",192822,"Nizhnelenskaya (Kengdeyskaya) subzone, низовья реки Лена, остров Тас-Ары, Рэтский ярус","Tosapecten cf. efimovae Polub., T. hiemalis
(Tell.)","БУЛУНКАНСКАЯ СВИТА. Алевролиты, песчаники, конгломераты.","Rhaetian","Rhaetian",941,1000004,"Nizhnelenskaya (Kengdeyskaya) subzone Triassic",71.7532,127.402,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-75.2731108603948,84.9078366652693
"15",192859,"Ebitiemskaya (Berisskaya) subzone, реки Эбитием, Берисс, Рэтский ярус.","Tosapecten sp.","БУЛУНКАНСКАЯ СВИТА. Алевролиты, песчаники, конгломераты.","Rhaetian","Rhaetian",950,1000004,"Ebitiemskaya (Berisskaya) subzone,  Triassic",70.3209,127.981,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-89.8526091933365,85.7402462162696
"16",193120," Muosuchan, Laepiske rivers, Муосучанская СФЗ, Рэтский ярус.","Tosapecten hiemalis (Tell.), Mytilus tenuiformis Kob. et Ich., Arctomytiloides kelimiarensis Polub., Otapiria aff. originalis (Kipar.), Tancredia tuchkovi Kipar., T. explicata Kipar., Unionites subletica (Kipar.), Nooshizodus
rotundus (Alb.), Ochotomya anmandykanensis (Tuchk.), Eotrapezium hyllingense
Troeds., Pleuromya submusculoides Kipar.,; Piarorhynchia sp., Costispiriferina sp.; Seirocrinus alaska Spring; Фораминиферы: Involutaria triasica (Gerke), Psammosphaera aff. bulla Vor., Oolina ex gr. apiculata (Reuss),
Saccamina aff. arctica Gerke, Hyperamminoides ex gr. affectus Voron., Reophax cf. cominutus Kristan-Tollman, Nodosaria ex gr. carnika (Gerke); остракоды: Nordvikia sp. indet.","КЫБЫТЫГАССКАЯ СВИТА. Чередование пачек (6-17 м) песчаников мелко-, редко
среднезернистых с пакетами тонкого переслаивания алевролитов мелкозернистых (20 м и более) и песчаников; линзы углей, конгломераты.","Rhaetian","Rhaetian",1012,1000004," Muosuchan, Laepiske rivers,  Triassic",64.8599,127.595,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-167.015752606373,85.4997777651691
"17",193131,"Menkere, Begidjan rivers, Менкере-Бараинский СР, Рэтский ярус.","Tosapecten hiemalis (Tell.), Mytilus tenuiformis Kob. et Ich., Arctomytiloides kelimiarensis Polub., Otapiria aff. originalis (Kipar.), Tancredia tuchkovi Kipar., T. explicata Kipar., Unionites subletica (Kipar.), Nooshizodus
rotundus (Alb.), Ochotomya anmandykanensis (Tuchk.), Eotrapezium hyllingense
Troeds., Pleuromya submusculoides Kipar.,; Piarorhynchia sp., Costispiriferina sp.; Seirocrinus alaska Spring; Фораминиферы: Involutaria triasica (Gerke), Psammosphaera aff. bulla Vor., Oolina ex gr. apiculata (Reuss),
Saccamina aff. arctica Gerke, Hyperamminoides ex gr. affectus Voron., Reophax cf. cominutus Kristan-Tollman, Nodosaria ex gr. carnika (Gerke); остракоды: Nordvikia sp. indet.","КЫБЫТЫГАССКАЯ СВИТА чередование пачек (6-17 м) песчаников мелко-, редко
среднезернистых с пакетами тонкого переслаивания алевролитов мелкозернистых (20 м и более) и песчаников; линзы углей, конгломераты.
","Rhaetian","Rhaetian",1015,1000004,"Menkere, Begidjan rivers_Triassic",67.8136,124.733,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-125.758622956317,87.7289362556607
"18",193173," Bytantay, Billakh rivers, Ханнахская СФЗ, Аркачанская серия, Рэтский ярус","Tosapecten efimovae Polub., Oxytoma mojsisovicsi Tell.,
Praechlamys mojsisovicsi (Kob. et Ich.), Bureiamya dubia
Polub.","ОСЕННИНСКАЯ СВИТА. В нижней части (12-30 м) алевролиты зеленовато-
серые разнозернистые; в верхней (35-50 м) - чередование слоев (до 2 м) песчаников мелко- и среднезернистых с прослоями (до 1 м) алевролитов разнозернистых ; линзы гравелитов ,мелкогалечных конгломеротов.","Rhaetian","Rhaetian",1036,1000004," Bytantay, Billakh rivers, Triassic",67.8826,131.302,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-124.372996680265,85.2534838302867
"19",193177,"Echiy river, Аркачанская СФЗ, Рэтский ярус.","Tosapecten efimovae Polub., Oxytoma mojsisovicsi Tell.,
Praechlamys mojsisovicsi (Kob. et Ich.), Bureiamya dubia
Polub.","ОСЕННИНСКАЯ СВИТА. В нижней части (12-30 м) алевролиты зеленовато-
серые разнозернистые; в верхней (35-50 м) чередование слоев (до 2 м) песчаников мелко- и среднезернистых с прослоями (до 1 м) алевролитов разнозернистых ; линзы гравелитов , мелкогалечных конгломеротов.","Rhaetian","Rhaetian",1037,1000004,"Echiy River,  Triassic",65.9547,130.711,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-147.239729651149,85.0125010348256
"20",193222,"Sartang river, Нижнесартанская СФЗ, Сартанская свита, Рэтский ярус.","Tosapecten efimovae Polub., Camptonectes
nanus Trusch., “Camptochlamis” inspecta
Kipar., Arctomyliloides sp., Oxytoma koniense
Tuchk., O. mojsisovicsi Tell., Palaeopharus burji
Kipar., Tancredia tuchkovi Kipar., Unionites
s u b l e t t i c a ( K i p a r . ) , O c h o t o m y a
anmandykanensis (Tuchk.), Pleuromga sp.;","алевролиты мелкозернистые местами известковистые, аргиллиты с редкими пластами ( 1-5 - 20 м ) алевролитов песчанистых и песчаников мелкозернистых; линзы конгломератов и кристаллических известняков, конкреции.","Rhaetian","Rhaetian",1048,1000004,"Sartang river_Triassic",66.4835,132.93,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-138.36090133881,84.3726827091134
"21",193225,"Yana river, Верхнеянская СФЗ, Сартанская свита, Рэтский ярус.","Tosapecten efimovae Polub., Camptonectes
nanus Trusch., “Camptochlamis” inspecta
Kipar., Arctomyliloides sp., Oxytoma koniense
Tuchk., O. mojsisovicsi Tell., Palaeopharus burji
Kipar., Tancredia tuchkovi Kipar., Unionites
s u b l e t t i c a ( K i p a r . ) , Ochotomya
anmandykanensis (Tuchk.), Pleuromga sp.;","алевролиты мелкозернистые местами известковистые, аргиллиты с редкими пластами (1-5-20 м ) алевролитов
песчанистых и песчаников мелкозернистых; линзы конгломератов и кристаллических известняков, конкреции.","Rhaetian","Rhaetian",1050,1000004,"Yana river_Triassic",67.5971,133.564,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-126.705366017382,84.3751236772234
"22",193391,"Derbake, Borulah rivers, Борулах-Дербекская СФЗ, Джаргинская свита, Рэтский ярус.","Tosapecten efimovae Polub. Camptonectes nanus Trusch.,
Neoschizodus sp. ind., Tancredia
cf. tuchkovi Kipar., Ochotomya
anmandykanensis (Tuchk.)","чередование пластов (2-28 м) песчаников с частыми линзами (до 1,5 м) конгломератов и пластов (5-30 м) алевролитов разнозернистых; редкие пачки (10-30 м) аргиллитов;
следы размывов, конкреции","Rhaetian","Rhaetian",1083,1000004,"Derbake, Borulah rivers",66.6588,134.489,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-134.949674320285,83.8319575722001
"23",193473,"Tompo, Menkyule rivers, Томпонская СФЗ, Икиринская свита, Рэтский ярус.","Otapiria sp., Camptonectes sp., Taneredia tuchkovi Kipar., Ochotomya aff. anmandykanensis (Tuchk.),
Arctomytiloides aff. sinuosus Polub., Mytilus sp., Modiolus sp., Unionites sublettica Kipar., Neoschizodus
sp., Worthenia cf. humiliformus Popow.","(НИЖНЯЯ ЧАСТЬ). Чередование пакетов(10-100 м) переслаивания алевролитов разнозернистых с пачками (20-80 м) песчаников мелко-, реже среднезернистых, мощность которых уменьшается к верху; прослои (до 17 м) туффитов, алевропсаммитов, туфопесчаников, туфоалевролитов, туфоаргиллитов; углистые примазки, растительные остатки, редко линзы (до 0.4 м) гравелитов.","Rhaetian","Rhaetian",1089,1000004,"Tompo, Menkyule rivers_Triassic",63.3924,136.607,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-154.70274068862,81.5205957080487
"24",193486,"Kobyuma, Agayakan rivers, Кобюмская СФЗ, Былыньинская свита, Рэтский ярус","Camptonectes nanus Trusch., Neoschizodus
sp.","Алевролиты разнозернистые, аргиллиты, редкие прослои (1-3 м) песчаников мелкозернистых; гальки осадочных пород, линзы конгломератов, растительный детрит.","Rhaetian","Rhaetian",1096,1000004,"Kobyuma, Agayakan rivers_Triassic",63.1948,141.802,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-147.261713672111,79.5196920698047
"25",193526,"Allah-Yun, Tyry rivers, Аллах-Юньская СФЗ, Даланкичанская свита,Рэтский ярус.","Oxytoma czekanowskii Tell.,
Tosapecten hiemalis (Tell.)","ВЕРХНЕДАЛАНКИЧАНСКАЯ ПОДСВИТА
песчаники мелко-среднезернистые с прослоями алевролитов, туфоалевролитов
и конгломератов; в основании пачка (80-200 м) переслаивания алеролитов и
песчаников.","Rhaetian","Rhaetian",1099,1000004,"Allah-Yun, Tyry rivers_Triassic",62.4612,137.072,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-158.471216610746,80.7617549881581
"26",193536,"Levoyudomskaya subzone, реки Юдома, Акачан, Хавакчанская свита, Рэтский ярус","Tosapecten efimovae Polub.?, Entolium kolymaense Kipar.,
Oxytoma czekanowskii Tell., Neoschizodus rotundus (Alberti)","Аргиллиты и песчанистые аргиллиты, прослои алевролитов.","Rhaetian","Rhaetian",1100,1000004,"Levoyudomskaya subzone_Triassic",61.9372,140.561,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-154.53696747904,79.1945981921313
"27",193537,"Levoyudomskaya subzone, реки Юдома, Акачан, Усмачанская свита, Рэтский ярус","Tosapecten efimovae Polub.?, Entolium kolymaense Kipar.,
Oxytoma czekanowskii Tell., Neoschizodus rotundus (Alberti)","Песчаники с прослоями алевролитов, гравелитов, песчано-глинистых
сланцев.","Rhaetian","Rhaetian",1100,1000004,"Levoyudomskaya subzone_Triassic",61.9372,140.561,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-154.53696747904,79.1945981921313
"28",193675,"Nelgese, Derbeke rivers, Адычанская СФЗ, Былыньинская свита, Рэтский ярус.","Arcestes ex gr. colonus Mojs., Rhacophyllites ex gr. debilis Hauer, Germanonautilus sp., Tosapecten efimovae Polub., T.
hiemalis (Tell.), Camptorectes nanus Trusch., Arctomytiloides sp., Entolium kolymaense Kipar., Oxytoma mojsisovicsi
Tell., O. koniensis Tuchk., Modiolus vozini Tikh., Praechlamys mojsisovicsi (Kob. et Ich.), “Camptochlamys” inspecta
Kipar., Plicatula kolymica Polub., Palaeopharus buriji Kipar., P. magadanicus Bytschk., Neoschizodus rotondus (Alb.),
Schafhaeutlia mellingi (Hauer), Tancredia tuchkovi Kipar., Ochotamya terechovae Polub., O. anmandykanensis (Tuchk.),
Bureiamya dubia Polub.,","в нижней части (300-500 м) алевролиты крупнозернистые песчанистые, иногда в чередовании с алевролитами мелкозернистыми, реже крупнозернистыми; редкие пласты (до 20 м) песчаников; в верхней части (до 500 м) алевролиты мелкозернистые, иногда в тонком переслаивании с алевролитами крупнозернистыми; обычны конкреции; повсеместно крупные (0.2-0.6 м) следы жизнедеятельности донных организмов.","Rhaetian","Rhaetian",1122,1000004,"Nelgese, Derbeke rivers_Triassic",66.7074,136.529,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-132.594050308395,83.0688304310253
"29",193744," Indigirka River, Нера-Тобычанская СФЗ, Былыньинская свита, Рэтский ярус.","Arcestes ex gr. colonus Mojs., Rhacophyllites ex gr. debilis Hauer, Germanonautilus sp., Tosapecten efimovae Polub., T.
hiemalis (Tell.), Camptorectes nanus Trusch., Arctomytiloides sp., Entolium kolymaense Kipar., Oxytoma mojsisovicsi
Tell., O. koniensis Tuchk., Modiolus vozini Tikh., Praechlamys mojsisovicsi (Kob. et Ich.), “Camptochlamys” inspecta
Kipar., Plicatula kolymica Polub., Palaeopharus buriji Kipar., P. magadanicus Bytschk., Neoschizodus rotondus (Alb.),
Schafhaeutlia mellingi (Hauer), Tancredia tuchkovi Kipar., Ochotamya terechovae Polub., O. anmandykanensis (Tuchk.),
Bureiamya dubia Polub., брахиоподы, криноидеи, офиуры, гастроподы.","в нижней части (300-500 м) алевролиты крупнозернистые
песчанистые, иногда в чередовании с алевролитами
мелкозернистыми, реже крупнозернистыми; редкие пласты (до 20
м) песчаников; в верхней части (до 500 м) алевролиты
мелкозернистые, иногда в тонком переслаивании с алевролитами
крупнозернистыми; обычны конкреции; повсеместно крупные
(0.2-0.6 м) следы жизнедеятельности донных организмов.","Rhaetian","Rhaetian",1123,1000004," Indigirka River, Triassic",64.6567,143.305,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-138.418474868212,79.7161839155168
"30",193762,"Elga, Adichi rivers, Эльгинская СФЗ, Быльыньинская свита, Рэтский ярус","Arcestes ex gr. colonus Mojs., Rhacophyllites ex gr. debilis Hauer, Germanonautilus sp., Tosapecten efimovae Polub., T.
hiemalis (Tell.), Camptorectes nanus Trusch., Arctomytiloides sp., Entolium kolymaense Kipar., Oxytoma mojsisovicsi
Tell., O. koniensis Tuchk., Modiolus vozini Tikh., Praechlamys mojsisovicsi (Kob. et Ich.), “Camptochlamys” inspecta
Kipar., Plicatula kolymica Polub., Palaeopharus buriji Kipar., P. magadanicus Bytschk., Neoschizodus rotondus (Alb.),
Schafhaeutlia mellingi (Hauer), Tancredia tuchkovi Kipar., Ochotamya terechovae Polub., O. anmandykanensis (Tuchk.),
Bureiamya dubia Polub., брахиоподы, криноидеи, офиуры, гастроподы.","в нижней части (300-500 м) алевролиты крупнозернистые
песчанистые, иногда в чередовании с алевролитами
мелкозернистыми, реже крупнозернистыми; редкие пласты (до 20
м) песчаников; в верхней части (до 500 м) алевролиты
мелкозернистые, иногда в тонком переслаивании с алевролитами
крупнозернистыми; обычны конкреции; повсеместно крупные
(0.2-0.6 м) следы жизнедеятельности донных организмов","Rhaetian","Rhaetian",1139,1000004,"Elga, Adichi rivers_Triassic",64.5764,140.337,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-142.399004369403,80.7991282234055
"31",193776,"Indigirka River, above the mouth of the Elga River, ВЕРХНЕИНДИГИРСКАЯ СФЗ, БЫЛЫНЬИНСКАЯ СВИТА, Рэтский ярус","Arcestes ex gr. colonus Mojs., Rhacophyllites ex gr. debilis Hauer, Germanonautilus sp., Tosapecten efimovae Polub., T.
hiemalis (Tell.), Camptorectes nanus Trusch., Arctomytiloides sp., Entolium kolymaense Kipar., Oxytoma mojsisovicsi
Tell., O. koniensis Tuchk., Modiolus vozini Tikh., Praechlamys mojsisovicsi (Kob. et Ich.), “Camptochlamys” inspecta
Kipar., Plicatula kolymica Polub., Palaeopharus buriji Kipar., P. magadanicus Bytschk., Neoschizodus rotondus (Alb.),
Schafhaeutlia mellingi (Hauer), Tancredia tuchkovi Kipar., Ochotamya terechovae Polub., O. anmandykanensis (Tuchk.),
Bureiamya dubia Polub., брахиоподы, криноидеи, офиуры, гастроподы.","в нижней части (300-500 м) алевролиты крупнозернистые
пе счанистые, иногда в чередовании с алевролитами
мелкозернистыми, реже крупнозернистыми; редкие пласты (до 20
м) песчаников; в верхней части (до 500 м) алевролиты
мелкозернистые, иногда в тонком переслаивании с алевролитами
крупнозернистыми; обычны конкреции; повсеместно крупные
(0.2-0.6 м) следы жизнедеятельности донных организмов.","Rhaetian","Rhaetian",1136,1000004,"Indigirka River, above the mouth of the Elga River, Triassic",63.6279,143.113,"Корень-2009 PZ-MZ Решения Третьего межведомственного регионального...","Корень-2009 Решения Третьего межведомственного регионального стратиграфического совещания по докембрию, палеозою и мезозою Северо-Востока России (Санкт-Петербург, 2002) / Ред. Т.Н.Корень, Г.В.Котляр. СПб.: Изд-во ВСЕГЕИ, 2009. 268 с.","paleosib",208.5,201.3,"Rhaetian",58,-143.532472598476,79.2724336736238
