"lat_max","lat_min","long_mean","stage","age","stg"
90,60.3072069022864,3.43689247791472,"Hettangian",201,59
90,59.2500486183895,7.23149635247517,"Hettangian",199,59
90,61.902530353141,1.04377868617207,"Rhaetian",208,58
90,60.3072069022864,3.43689247791472,"Rhaetian",201,58
90,55.6765775675263,21.4630618260933,"Norian",228,57
90,61.902530353141,1.04377868617207,"Norian",208,57
85.6692403051134,48.9068789218561,25.5119847969004,"Carnian",237,56
90,55.6765775675263,21.4630618260933,"Carnian",228,56
82.7658758672421,45.9768547177743,28.1720235912276,"Ladinian",242,55
85.6692403051134,48.9068789218561,25.5119847969004,"Ladinian",237,55
82.4554692382097,45.0944783965113,34.8205743192237,"Anisian",247,54
82.7658758672421,45.9768547177743,28.1720235912276,"Anisian",242,54
81.9830874455482,43.8795960474526,38.5071519982364,"Olenekian",250,53
82.4554692382097,45.0944783965113,34.8205743192237,"Olenekian",247,53
81.5068095655905,43.0456941290236,40.8246149285958,"Induan",252,52
81.9830874455482,43.8795960474526,38.5071519982364,"Induan",250,52
80.9194749497866,42.1937928178393,43.0290731561452,"Changhsingian",254,51
81.5068095655905,43.0456941290236,40.8246149285958,"Changhsingian",252,51
79.4015628806783,40.5397356792447,45.4568858274905,"Wuchiapingian",260,50
80.9194749497866,42.1937928178393,43.0290731561452,"Wuchiapingian",254,50
78.1956935328373,39.3112544764286,46.7194287959933,"Capitanian",265,49
79.4015628806783,40.5397356792447,45.4568858274905,"Capitanian",260,49
76.4833251312502,37.5810664068268,48.3342539356294,"Wordian",272,48
78.1956935328373,39.3112544764286,46.7194287959933,"Wordian",265,48
75.3449738276958,36.9521496610843,45.3324796451029,"Roadian",277,47
76.4833251312502,37.5810664068268,48.3342539356294,"Roadian",272,47
73.8793154655447,36.4935923272759,41.2887728201586,"Kungurian",283,46
75.3449738276958,36.9521496610843,45.3324796451029,"Kungurian",277,46
72.036078058258,34.8583537713238,37.4785089098418,"Artinskian",290,45
73.8793154655447,36.4935923272759,41.2887728201586,"Artinskian",283,45
70.8420479123099,33.773008697123,35.4616370496409,"Sakmarian",294,44
72.036078058258,34.8583537713238,37.4785089098418,"Sakmarian",290,44
69.234077763289,32.3824903305152,33.1017559552146,"Asselian",299,43
70.8420479123099,33.773008697123,35.4616370496409,"Asselian",294,43
67.787780195098,30.9572986397418,30.9145283435943,"Gzhelian",304,42
69.234077763289,32.3824903305152,33.1017559552146,"Gzhelian",299,42
67.0375937112858,30.1892514108842,29.4918510537431,"Kasimovian",307,41
67.787780195098,30.9572986397418,30.9145283435943,"Kasimovian",304,41
65.5493256259063,28.5990331887322,24.8950168881035,"Moscovian",315,40
67.0375937112858,30.1892514108842,29.4918510537431,"Moscovian",307,40
63.8110284645024,26.8723703662582,20.5765800768287,"Bashkirian",323,39
65.5493256259063,28.5990331887322,24.8950168881035,"Bashkirian",315,39
61.8380154829417,25.0069167845795,16.5294065145586,"Serpukhovian",331,38
63.8110284645024,26.8723703662582,20.5765800768287,"Serpukhovian",323,38
57.3446113850156,20.955617029051,9.19212315885802,"Visean",347,37
61.8380154829417,25.0069167845795,16.5294065145586,"Visean",331,37
53.6625400378543,17.6733479092727,4.28139051327274,"Tournaisian",359,36
57.3446113850156,20.955617029051,9.19212315885802,"Tournaisian",347,36
49.9816423112023,15.0324554547691,1.48311114080799,"Famennian",372,35
53.6625400378543,17.6733479092727,4.28139051327274,"Famennian",359,35
47.6005012041444,13.2395403176617,0.235272984260183,"Frasnian",383,34
49.9816423112023,15.0324554547691,1.48311114080799,"Frasnian",372,34
46.7684541637411,12.4463612423142,-0.228499393145978,"Givetian",388,33
47.6005012041444,13.2395403176617,0.235272984260183,"Givetian",383,33
45.9588939231652,11.6587015492558,-0.629491391647824,"Eifelian",393,32
46.7684541637411,12.4463612423142,-0.228499393145978,"Eifelian",388,32
44.9480932777042,10.5568898134325,-3.32274642474175,"Emsian",408,31
45.9588939231652,11.6587015492558,-0.629491391647824,"Emsian",393,31
45.3340402572143,10.7839299408075,-4.8529681872331,"Pragian",411,30
44.9480932777042,10.5568898134325,-3.32274642474175,"Pragian",408,30
46.4421011456607,11.2746084785627,-8.97377501727825,"Lochkovian",419,29
45.3340402572143,10.7839299408075,-4.8529681872331,"Lochkovian",411,29
