"zones","episodes","stage","stg","age","lat","pointNum","globPointNum"
"warm_temp","warm_temp1","Sakmarian",44,294,56.7558130105389,2,94
"warm_temp","warm_temp1","Asselian",43,294,56.7558130105389,3,95
"warm_temp","warm_temp1","Asselian",43,299,55.230474538835,4,96
"warm_temp","warm_temp1","Gzhelian",42,299,69.234077763289,5,97
"warm_temp","warm_temp1","Gzhelian",42,304,67.787780195098,6,98
"warm_temp","warm_temp1","Kasimovian",41,304,67.787780195098,7,99
"warm_temp","warm_temp1","Kasimovian",41,307,67.0375937112858,8,100
"warm_temp","warm_temp1","Moscovian",40,307,57.4570247131814,9,101
"warm_temp","warm_temp1","Moscovian",40,315,55.942249592241,10,102
"warm_temp","warm_temp1","Bashkirian",39,315,55.942249592241,11,103
"warm_temp","warm_temp1","Bashkirian",39,323,54.2069773589589,12,104
"warm_temp","warm_temp1","Serpukhovian",38,323,63.0722553025375,13,105
"warm_temp","warm_temp1","Serpukhovian",38,331,61.1013935089745,14,106
"warm_temp","warm_temp1","Visean",37,331,61.8380154829417,15,107
"warm_temp","warm_temp1","Visean",37,347,57.3446113850156,16,108
"warm_temp","warm_temp1","Tournaisian",36,347,57.3446113850156,17,109
"warm_temp","warm_temp1","Tournaisian",36,359,53.6625400378543,18,110
"warm_temp","warm_temp1","Tournaisian",36,359,17.6733479092727,19,111
"warm_temp","warm_temp1","Tournaisian",36,347,20.955617029051,20,112
"warm_temp","warm_temp1","Visean",37,347,20.955617029051,21,113
"warm_temp","warm_temp1","Visean",37,331,25.0069167845795,22,114
"warm_temp","warm_temp1","Serpukhovian",38,331,25.0069167845795,23,115
"warm_temp","warm_temp1","Serpukhovian",38,323,26.8723703662582,24,116
"warm_temp","warm_temp1","Bashkirian",39,323,26.8723703662582,25,117
"warm_temp","warm_temp1","Bashkirian",39,315,28.5990331887322,26,118
"warm_temp","warm_temp1","Moscovian",40,315,28.5990331887322,27,119
"warm_temp","warm_temp1","Moscovian",40,307,30.1892514108842,28,120
"warm_temp","warm_temp1","Kasimovian",41,307,30.1892514108842,29,121
"warm_temp","warm_temp1","Kasimovian",41,304,30.9572986397418,30,122
"warm_temp","warm_temp1","Gzhelian",42,304,30.9572986397418,31,123
"warm_temp","warm_temp1","Gzhelian",42,299,32.3824903305152,32,124
"warm_temp","warm_temp1","Asselian",43,299,32.3824903305152,33,125
"warm_temp","warm_temp1","Asselian",43,294,33.773008697123,34,126
"warm_temp","warm_temp1","Sakmarian",44,294,33.773008697123,35,127
"warm_temp","warm_temp1","Sakmarian",44,290,34.8583537713238,36,128
"cool_temp","cool_temp1","Moscovian",40,307,67.0375937112858,1,129
"cool_temp","cool_temp1","Moscovian",40,315,65.5493256259063,2,130
"cool_temp","cool_temp1","Bashkirian",39,315,65.5493256259063,3,131
"cool_temp","cool_temp1","Bashkirian",39,323,63.8110284645024,4,132
"cool_temp","cool_temp1","Serpukhovian",38,323,63.8110284645024,5,133
"cool_temp","cool_temp1","Serpukhovian",38,331,61.8380154829417,6,134
"cool_temp","cool_temp1","Serpukhovian",38,331,61.1013935089745,7,135
"cool_temp","cool_temp1","Serpukhovian",38,323,63.0722553025375,8,136
"cool_temp","cool_temp1","Bashkirian",39,323,54.2069773589589,9,137
"cool_temp","cool_temp1","Bashkirian",39,315,55.942249592241,10,138
"cool_temp","cool_temp1","Moscovian",40,315,55.942249592241,11,139
"cool_temp","cool_temp1","Moscovian",40,307,57.4570247131814,12,140
"arid","arid1","Famennian",35,359,53.6625400378543,1,141
"arid","arid1","Famennian",35,372,49.9816423112023,2,142
"arid","arid1","Frasnian",34,372,49.9816423112023,3,143
"arid","arid1","Frasnian",34,383,47.6005012041444,4,144
"arid","arid1","Frasnian",34,383,17.7064652329045,5,145
"arid","arid1","Frasnian",34,372,19.5758497461054,6,146
"arid","arid1","Famennian",35,372,19.5758497461054,7,147
"arid","arid1","Famennian",35,359,22.3519428859883,8,148
"tropical","tropical1","Famennian",35,359,22.3519428859883,1,149
"tropical","tropical1","Famennian",35,372,19.5758497461054,2,150
"tropical","tropical1","Frasnian",34,372,19.5758497461054,3,151
"tropical","tropical1","Frasnian",34,383,17.7064652329045,4,152
"tropical","tropical1","Frasnian",34,383,13.2395403176617,5,153
"tropical","tropical1","Frasnian",34,372,15.0324554547691,6,154
"tropical","tropical1","Famennian",35,372,15.0324554547691,7,155
"tropical","tropical1","Famennian",35,359,17.6733479092727,8,156
"arid_tropical","arid_tropical1","Givetian",33,383,47.6005012041444,1,157
"arid_tropical","arid_tropical1","Givetian",33,388,46.7684541637411,2,158
"arid_tropical","arid_tropical1","Eifelian",32,388,46.7684541637411,3,159
"arid_tropical","arid_tropical1","Eifelian",32,393,45.9588939231652,4,160
"arid_tropical","arid_tropical1","Emsian",31,393,45.9588939231652,5,161
"arid_tropical","arid_tropical1","Emsian",31,408,44.9480932777042,6,162
"arid_tropical","arid_tropical1","Pragian",30,408,44.9480932777042,7,163
"arid_tropical","arid_tropical1","Pragian",30,411,45.3340402572143,8,164
"arid_tropical","arid_tropical1","Pragian",30,411,10.7839299408075,9,165
"arid_tropical","arid_tropical1","Pragian",30,408,10.5568898134325,10,166
"arid_tropical","arid_tropical1","Emsian",31,408,10.5568898134325,11,167
"arid_tropical","arid_tropical1","Emsian",31,393,11.6587015492558,12,168
"arid_tropical","arid_tropical1","Eifelian",32,393,11.6587015492558,13,169
"arid_tropical","arid_tropical1","Eifelian",32,388,12.4463612423142,14,170
"arid_tropical","arid_tropical1","Givetian",33,388,12.4463612423142,15,171
"arid_tropical","arid_tropical1","Givetian",33,383,13.2395403176617,16,172
